Country,sugar,corn,(sugar+corn)
Iran,480091597,2822336281,3302427878
Bangladesh,2063174600,527878978,2591053578
Algeria,2176380928,265081316,2441462244
Egypt,1010584065,1375065136,2385649201
Malaysia,1039031070,696333511,1735364581
India,1696095360,8244972,1704340332
Saudi Arabia,1380455693,300037345,1680493038
UAE,1538397895,56628745,1595026640
Japan,2653749,1574975592,1577629341
Vietnam,4175443,1551035208,1555210651
Spain,52132872,1335780242,1387913114
Nigeria,1336515029,5454746,1341969775
Morocco,931580393,353889836,1285470229
